FID,FID_Sweep1,FID_Swee_1,distance,FID_Buffer,Identifier,Identifi_1,Identifi_2,Latitude,Longitude,BUFF_DIST,ORIG_FID,ToBufDist,FromBufDst,FID_sweep_,ID,GRIDCODE,F_AREA
11347,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6234,6235,37,912.613750629000037
11348,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6236,6237,24,1825.237688050000088
11349,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6237,6238,24,912.619005904000005
11350,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6238,6239,37,912.620175129000017
11351,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6239,6240,36,14045.428720199999589
11352,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6240,6241,36,405.046530055000005
11353,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6241,6242,152,108.833032356000004
11354,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6242,6243,176,232.385420067000013
11355,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6245,6246,36,235.781461048000011
11356,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6247,6248,24,29897.114594200000283
11357,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6249,6250,176,10817.376297599999816
11358,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6251,6252,37,689.422038334000035
11359,298,6,-500.000000000000000,32,2012_60,60.000000000000000,20.199999999999999,46.078133330000000,-116.259116700000007,4000.000000000000000,32,3500.000000000000000,3000.000000000000000,6253,6254,23,87081.231857599996147
11360,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,914,915,36,112.598587774999999
11361,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,915,916,37,95.849373219599997
11362,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,916,917,1,897.436313820999999
11363,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,917,918,176,1794.871932340000058
11364,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,918,919,36,1794.883249179999893
11365,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,919,920,152,1794.899421350000011
11366,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,921,922,152,117.313817688000000
11367,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,922,923,37,3737.134990569999900
11368,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,932,933,69,1065.882406489999994
11369,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,934,935,121,102.994822511999999
11370,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,940,941,68,1794.937621660000104
11371,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,941,942,152,865.223647933000052
11372,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,948,949,69,1794.947657489999983
11373,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,949,950,61,897.473482161999982
11374,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,950,951,124,2245.356879049999861
11375,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,959,960,53,91632.150734599999851
11376,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,962,963,57,1380.520992040000010
11377,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,963,964,61,3587.995563049999873
11378,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,964,965,176,371.689342763000013
11379,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,965,966,69,0.464101661862000
11380,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,973,974,122,487.316953298999977
11381,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,974,975,122,2692.493202399999973
11382,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,975,976,152,1794.994732590000012
11383,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,976,977,121,714.948544984000023
11384,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,994,995,152,66.748835540499996
11385,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,995,996,121,127.608999811000004
11386,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,996,997,122,1544.038195849999966
11387,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,997,998,152,4487.410930560000452
11388,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,998,999,123,897.483873359999961
11389,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,999,1000,122,897.483642539000016
11390,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1000,1001,152,2669.197366270000202
11391,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1001,1002,122,575.752467862999993
11392,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1002,1003,121,30.093397543599998
11393,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1009,1010,152,592.398796062999963
11394,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1010,1011,123,897.503664109000056
11395,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1011,1012,122,897.503431590999980
11396,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1012,1013,152,6506.027387879999878
11397,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1013,1014,121,1769.605544539999983
11398,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1026,1027,42,341.874646601999984
11399,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1027,1028,121,841.840933293000035
11400,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1028,1029,53,1794.977906509999912
11401,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1029,1030,121,897.488606975000039
11402,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1030,1031,176,897.488376425999945
11403,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1031,1032,152,736.808203165000009
11404,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1035,1036,49,897.509323578000021
11405,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1036,1037,152,897.509090818999994
11406,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1037,1038,69,897.508858302000021
11407,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1042,1043,42,1794.987942490000023
11408,299,6,-500.000000000000000,33,2012_61,61.000000000000000,20.199999999999999,47.038233329999997,-119.792066700000007,4000.000000000000000,33,3500.000000000000000,3000.000000000000000,1043,1044,69,1794.986557899999980
